image_id,filename,file_number,scanner,scanner_label,num_mitoses,mitosis_coords,width,height
101,101.tiff,101,Aperio-CS2,Scanner_C,12,"[[2838, 59, 2888, 109], [3045, 433, 3095, 483], [465, 46, 515, 96], [3680, 247, 3730, 297], [3303, 1095, 3353, 1145], [4934, 1294, 4984, 1344], [5444, 1406, 5494, 1456], [5657, 2067, 5707, 2117], [3941, 2591, 3991, 2641], [462, 3372, 512, 3422], [599, 4731, 649, 4781], [1511, 4666, 1561, 4716]]",6475,4840
102,102.tiff,102,Aperio-CS2,Scanner_C,54,"[[2825, 606, 2875, 656], [2632, 497, 2682, 547], [1957, 907, 2007, 957], [1841, 708, 1891, 758], [1331, 265, 1381, 315], [956, 264, 1006, 314], [693, 80, 743, 130], [3746, 39, 3796, 89], [3397, 538, 3447, 588], [5013, 339, 5063, 389], [5203, 297, 5253, 347], [5414, 484, 5464, 534], [6259, 281, 6309, 331], [525, 1442, 575, 1492], [1245, 819, 1295, 869], [3799, 1198, 3849, 1248], [4371, 1325, 4421, 1375], [5968, 1358, 6018, 1408], [5947, 1243, 5997, 1293], [895, 2130, 945, 2180], [1209, 2175, 1259, 2225], [1074, 2322, 1124, 2372], [1634, 1712, 1684, 1762], [2742, 2021, 2792, 2071], [4097, 2153, 4147, 2203], [4267, 1608, 4317, 1658], [3519, 2353, 3569, 2403], [3332, 2487, 3382, 2537], [3390, 2563, 3440, 2613], [1442, 3217, 1492, 3267], [2855, 3109, 2905, 3159], [3007, 3064, 3057, 3114], [3091, 2869, 3141, 2919], [3260, 2950, 3310, 3000], [4261, 3032, 4311, 3082], [5288, 3075, 5338, 3125], [5924, 2533, 5974, 2583], [6297, 2321, 6347, 2371], [770, 3599, 820, 3649], [1141, 3709, 1191, 3759], [982, 3545, 1032, 3595], [2179, 3763, 2229, 3813], [2285, 3588, 2335, 3638], [3474, 3261, 3524, 3311], [3612, 3104, 3662, 3154], [6363, 3331, 6413, 3381], [2281, 4345, 2331, 4395], [2224, 4401, 2274, 4451], [4670, 4505, 4720, 4555], [5386, 4551, 5436, 4601], [5766, 4760, 5816, 4810], [4017, 4370, 4067, 4420], [4057, 1187, 4107, 1237], [2773, 4031.5, 2823, 4081.5]]",6465,4827
103,103.tiff,103,Aperio-CS2,Scanner_C,20,"[[2084, 632, 2134, 682], [2191, 487, 2241, 537], [1316, 761, 1366, 811], [1095, 919, 1145, 969], [1377, 931, 1427, 981], [1409, 155, 1459, 205], [5997, 294, 6047, 344], [6256, 999, 6306, 1049], [968, 1698, 1018, 1748], [1728, 1967, 1778, 2017], [1837, 1582, 1887, 1632], [2700, 3086, 2750, 3136], [5839, 2589, 5889, 2639], [509, 3499, 559, 3549], [4116, 3197, 4166, 3247], [6371, 3153, 6421, 3203], [1437, 4373, 1487, 4423], [3423, 3932, 3473, 3982], [195, 4706, 245, 4756], [2379, 4010, 2429, 4060]]",6467,4843
104,104.tiff,104,Aperio-CS2,Scanner_C,11,"[[3756, 588, 3806, 638], [3136, 224, 3186, 274], [3350, 1099, 3400, 1149], [5325, 1244, 5375, 1294], [4981, 2558, 5031, 2608], [6401, 2558, 6451, 2608], [612, 3526, 662, 3576], [2336, 3213, 2386, 3263], [2209, 4640, 2259, 4690], [5466, 4749, 5516, 4799], [5086.5, 1838.5, 5136.5, 1888.5]]",6472,4857
105,105.tiff,105,Aperio-CS2,Scanner_C,8,"[[2091, 432, 2141, 482], [2399, 680, 2449, 730], [4587, 1436, 4637, 1486], [5448, 1164, 5498, 1214], [3943, 2299, 3993, 2349], [3722, 2228, 3772, 2278], [3993, 4308, 4043, 4358], [3455.5, 188.5, 3505.5, 238.5]]",6460,4870
106,106.tiff,106,Aperio-CS2,Scanner_C,49,"[[5407, 808, 5457, 858], [5521, 547, 5571, 597], [1308, 1307, 1358, 1357], [1360, 879, 1410, 929], [1644, 1384, 1694, 1434], [1651, 1424, 1701, 1474], [2279, 980, 2329, 1030], [6273, 921, 6323, 971], [1359, 1678, 1409, 1728], [1492, 1906, 1542, 1956], [388, 2266, 438, 2316], [530, 2160, 580, 2210], [253, 1842, 303, 1892], [3548, 2392, 3598, 2442], [3896, 2179, 3946, 2229], [5448, 1558, 5498, 1608], [6150, 1673, 6200, 1723], [4208, 2871, 4258, 2921], [5430, 2472, 5480, 2522], [5957, 3032, 6007, 3082], [6025, 2693, 6075, 2743], [6415, 2886, 6465, 2936], [445, 3346, 495, 3396], [1982, 3274, 2032, 3324], [2672, 3429, 2722, 3479], [3107, 3364, 3157, 3414], [3974, 3513, 4024, 3563], [470, 4022, 520, 4072], [1218, 3954, 1268, 4004], [4523, 4484, 4573, 4534], [4569, 4599, 4619, 4649], [5216, 4673, 5266, 4723], [2913, 3997, 2963, 4047], [3286, 4458, 3336, 4508], [2772, 4769, 2822, 4819], [1908, 4410, 1958, 4460], [1062, 4606, 1112, 4656], [4545, 3339, 4595, 3389], [5462, 2958, 5512, 3008], [3388, 2658, 3438, 2708], [2982.5, 537.5, 3032.5, 587.5], [5548, 185, 5598, 235], [3217.5, 1089, 3267.5, 1139], [5335, 2316, 5385, 2366], [1496, 4127, 1546, 4177], [80, 2278, 130, 2328], [4776, 1065.5, 4826, 1115.5], [4881.5, 1245.5, 4931.5, 1295.5], [2854.5, 2270.5, 2904.5, 2320.5]]",6456,4859
107,107.tiff,107,Aperio-CS2,Scanner_C,40,"[[1542, 615, 1592, 665], [2943, 666, 2993, 716], [2517, 79, 2567, 129], [2622, 654, 2672, 704], [1558, 178, 1608, 228], [829, 394, 879, 444], [156, 153, 206, 203], [722, 1175, 772, 1225], [2694, 1109, 2744, 1159], [3752, 112, 3802, 162], [4106, 151, 4156, 201], [4549, 388, 4599, 438], [4922, 839, 4972, 889], [5434, 1832, 5484, 1882], [155, 1532, 205, 1582], [1791, 1895, 1841, 1945], [3699, 2264, 3749, 2314], [929, 2387, 979, 2437], [2342, 2731, 2392, 2781], [2481, 2569, 2531, 2619], [3520, 2828, 3570, 2878], [4055, 2850, 4105, 2900], [3274, 2469, 3324, 2519], [4737, 2797, 4787, 2847], [5464, 2749, 5514, 2799], [4609, 2988, 4659, 3038], [2292, 3322, 2342, 3372], [3190, 3761, 3240, 3811], [3497, 3345, 3547, 3395], [58, 4157, 108, 4207], [2410, 4233, 2460, 4283], [2052, 3960, 2102, 4010], [5376, 4136, 5426, 4186], [4927, 3852, 4977, 3902], [4810, 4161, 4860, 4211], [3700, 4599, 3750, 4649], [4756.5, 1391.5, 4806.5, 1441.5], [1818.5, 3526.5, 1868.5, 3576.5], [6161.5, 2585.5, 6211.5, 2635.5], [2758, 505.5, 2808, 555.5]]",6514,4864
108,108.tiff,108,Aperio-CS2,Scanner_C,38,"[[1252, 305, 1302, 355], [3027, 737, 3077, 787], [3508, 92, 3558, 142], [4865, 492, 4915, 542], [5170, 564, 5220, 614], [1059, 1473, 1109, 1523], [2191, 1385, 2241, 1435], [2547, 1261, 2597, 1311], [1600, 1532, 1650, 1582], [2665, 1070, 2715, 1120], [2525, 1515, 2575, 1565], [737, 777, 787, 827], [5589, 1420, 5639, 1470], [1444, 2018, 1494, 2068], [2599, 2211, 2649, 2261], [3535, 1733, 3585, 1783], [1079, 2564, 1129, 2614], [1455, 3096, 1505, 3146], [4572, 2443, 4622, 2493], [5259, 2705, 5309, 2755], [6008, 2601, 6058, 2651], [5961, 2977, 6011, 3027], [473, 3338, 523, 3388], [2127, 3759, 2177, 3809], [3650, 3284, 3700, 3334], [5104, 4383, 5154, 4433], [3737.5, 1835, 3787.5, 1885], [1302, 4001, 1352, 4051], [3166, 4219, 3216, 4269], [3065.5, 3687, 3115.5, 3737], [5433, 3276, 5483, 3326], [1791, 2485, 1841, 2535], [3710.5, 2755.5, 3760.5, 2805.5], [4308.5, 3344.5, 4358.5, 3394.5], [2366.5, 467.5, 2416.5, 517.5], [-3.5, 2629.5, 46.5, 2679.5], [5517.5, 1390.5, 5567.5, 1440.5], [690.5, 2358.5, 740.5, 2408.5]]",6447,4893
109,109.tiff,109,Aperio-CS2,Scanner_C,25,"[[1879, 187, 1929, 237], [2201, 632, 2251, 682], [2830, 366, 2880, 416], [2630, 231, 2680, 281], [969, 255, 1019, 305], [360, 1365, 410, 1415], [3175, 418, 3225, 468], [2084, 1255, 2134, 1305], [1900, 980, 1950, 1030], [3611, 1421, 3661, 1471], [4399, 1190, 4449, 1240], [4423, 1322, 4473, 1372], [6352, 842, 6402, 892], [595, 1787, 645, 1837], [2098, 1862, 2148, 1912], [5024, 2313, 5074, 2363], [4585, 1734, 4635, 1784], [756, 2445, 806, 2495], [3920, 2776, 3970, 2826], [4294, 2843, 4344, 2893], [6087, 2701, 6137, 2751], [3098, 3472, 3148, 3522], [1496, 4240, 1546, 4290], [2453, 4454, 2503, 4504], [453.5, 517.5, 503.5, 567.5]]",6446,4876
110,110.tiff,110,Aperio-CS2,Scanner_C,18,"[[2538, 174, 2588, 224], [1347, 287, 1397, 337], [6030, 248, 6080, 298], [1114, 1048, 1164, 1098], [4257, 1168, 4307, 1218], [1189, 1711, 1239, 1761], [2226, 1766, 2276, 1816], [4360, 1784, 4410, 1834], [5246, 2219, 5296, 2269], [1181, 2493, 1231, 2543], [2569, 3066, 2619, 3116], [2708, 3063, 2758, 3113], [1251, 3779, 1301, 3829], [3388, 3481, 3438, 3531], [4030, 3583, 4080, 3633], [4740, 3788, 4790, 3838], [5537, 3118, 5587, 3168], [4481, 3067, 4531, 3117]]",6469,4805
111,111.tiff,111,Aperio-CS2,Scanner_C,10,"[[3414, 1153, 3464, 1203], [3484, 1051, 3534, 1101], [4617, 1097, 4667, 1147], [3469, 2680, 3519, 2730], [1848, 3721, 1898, 3771], [3918, 3788, 3968, 3838], [3167, 4080, 3217, 4130], [4095, 3902, 4145, 3952], [5991, 4154, 6041, 4204], [5859, 4551, 5909, 4601]]",6469,4825
112,112.tiff,112,Aperio-CS2,Scanner_C,88,"[[1990, 195, 2040, 245], [2875, 659, 2925, 709], [2656, 605, 2706, 655], [1255, 673, 1305, 723], [1291, 156, 1341, 206], [967, 102, 1017, 152], [541, 367, 591, 417], [3448, 130, 3498, 180], [4544, 442, 4594, 492], [4690, 642, 4740, 692], [4600, 778, 4650, 828], [5791, 334, 5841, 384], [1465, 1241, 1515, 1291], [1465, 1541, 1515, 1591], [2215, 1000, 2265, 1050], [2792, 1321, 2842, 1371], [2418, 1242, 2468, 1292], [2405, 1360, 2455, 1410], [3944, 1193, 3994, 1243], [4061, 1367, 4111, 1417], [3244, 825, 3294, 875], [5063, 1093, 5113, 1143], [5240, 1233, 5290, 1283], [5317, 1187, 5367, 1237], [4919, 871, 4969, 921], [4345, 999, 4395, 1049], [6357, 1201, 6407, 1251], [374, 2274, 424, 2324], [1425, 1923, 1475, 1973], [1217, 1932, 1267, 1982], [1761, 1993, 1811, 2043], [2545, 1616, 2595, 1666], [3144, 2162, 3194, 2212], [4197, 2172, 4247, 2222], [4986, 1910, 5036, 1960], [5985, 2097, 6035, 2147], [1100, 2479, 1150, 2529], [2637, 3015, 2687, 3065], [3136, 2916, 3186, 2966], [2384, 2695, 2434, 2745], [2008, 2492, 2058, 2542], [3921, 2488, 3971, 2538], [5275, 2777, 5325, 2827], [5744, 3025, 5794, 3075], [5985, 2580, 6035, 2630], [6070, 2519, 6120, 2569], [6064, 2383, 6114, 2433], [6205, 2286, 6255, 2336], [661, 3711, 711, 3761], [729, 3262, 779, 3312], [2200, 3652, 2250, 3702], [1892, 3864, 1942, 3914], [1847, 3581, 1897, 3631], [3419, 3612, 3469, 3662], [3575, 3494, 3625, 3544], [3286, 3522, 3336, 3572], [5744, 3698, 5794, 3748], [5623, 3624, 5673, 3674], [4550, 3454, 4600, 3504], [4211, 3362, 4261, 3412], [895, 4344, 945, 4394], [1178, 4439, 1228, 4489], [173, 4446, 223, 4496], [2247, 4602, 2297, 4652], [4054, 4466, 4104, 4516], [3286, 4105, 3336, 4155], [3579, 3733, 3629, 3783], [5392, 4224, 5442, 4274], [5070, 3988, 5120, 4038], [4466, 4298, 4516, 4348], [5209, 4231, 5259, 4281], [5129, 4268, 5179, 4318], [6181, 4361, 6231, 4411], [5869, 4146, 5919, 4196], [218, 4613, 268, 4663], [1477, 4752, 1527, 4802], [4480, 4675, 4530, 4725], [4765, 4788, 4815, 4838], [4565, 4846, 4615, 4896], [4302, 4567, 4352, 4617], [5216, 4811, 5266, 4861], [2687, 4166, 2737, 4216], [3725.5, 1839, 3775.5, 1889], [5270.5, 4416, 5320.5, 4466], [4893.5, 2447.5, 4943.5, 2497.5], [740, 9, 790, 59], [2204, 932, 2254, 982], [3128.5, 2058, 3178.5, 2108]]",6446,4883
113,113.tiff,113,Aperio-CS2,Scanner_C,36,"[[2158, 86, 2208, 136], [4979, 699, 5029, 749], [5744, 777, 5794, 827], [4810, 71, 4860, 121], [2312, 778, 2362, 828], [6209, 1412, 6259, 1462], [59, 2123, 109, 2173], [6423, 1887, 6473, 1937], [1535, 2596, 1585, 2646], [5289, 2724, 5339, 2774], [6181, 3087, 6231, 3137], [3424, 3417, 3474, 3467], [3346, 3531, 3396, 3581], [5261, 3636, 5311, 3686], [5121, 3413, 5171, 3463], [5476, 3699, 5526, 3749], [6075, 3224, 6125, 3274], [6398, 3446, 6448, 3496], [6004, 3860, 6054, 3910], [670, 4162, 720, 4212], [2706, 4075, 2756, 4125], [2828, 4265, 2878, 4315], [3817, 3956, 3867, 4006], [2605, 32, 2655, 82], [3263, 3451, 3313, 3501], [4351, 4130, 4401, 4180], [178.5, 2721.5, 228.5, 2771.5], [3, 3754.5, 53, 3804.5], [2468, 635, 2518, 685], [2129.5, 2826, 2179.5, 2876], [3685.5, 2425, 3735.5, 2475], [2268, 2245.5, 2318, 2295.5], [1383, 881.5, 1433, 931.5], [3707.5, 2757, 3757.5, 2807], [4771, 4016, 4821, 4066], [2748, 2093, 2798, 2143]]",6548,4817
114,114.tiff,114,Aperio-CS2,Scanner_C,42,"[[1369, 739, 1419, 789], [1739, 908, 1789, 958], [1117, 559, 1167, 609], [665, 665, 715, 715], [3434, 486, 3484, 536], [1613, 1119, 1663, 1169], [6459, 1507, 6509, 1557], [1793, 1953, 1843, 2003], [3995, 1661, 4045, 1711], [4275, 2186, 4325, 2236], [4321, 2213, 4371, 2263], [4735, 1639, 4785, 1689], [5672, 2284, 5722, 2334], [3917, 2450, 3967, 2500], [3669, 2515, 3719, 2565], [4579, 2670, 4629, 2720], [5230, 3008, 5280, 3058], [5331, 2814, 5381, 2864], [5448, 2666, 5498, 2716], [4931, 2624, 4981, 2674], [2289, 3324, 2339, 3374], [1914, 3213, 1964, 3263], [1650, 3149, 1700, 3199], [3773, 3154, 3823, 3204], [3710, 3543, 3760, 3593], [4962, 3727, 5012, 3777], [6110, 3769, 6160, 3819], [1317, 4221, 1367, 4271], [2108, 3922, 2158, 3972], [2904, 4562, 2954, 4612], [2164, 4255, 2214, 4305], [4075, 4281, 4125, 4331], [3123, 4208, 3173, 4258], [4064, 4494, 4114, 4544], [5472, 4583, 5522, 4633], [5702, 4321, 5752, 4371], [4475, 4342, 4525, 4392], [4830, 4616, 4880, 4666], [4721, 2140, 4771, 2190], [654.5, 3576, 704.5, 3626], [5971, 3485, 6021, 3535], [4520.5, 4138, 4570.5, 4188]]",6500,4856
